,quarterbacks
0,"['2001', 'shaun-hill-1']"
1,"['2001', 'chris-rix-1']"
2,"['2001', 'adrian-mcpherson-1']"
3,"['2001', 'ronald-curry-1']"
4,"['2001', 'darian-durant-1']"
5,"['2001', 'aaron-leak-1']"
6,"['2001', 'george-godsey-1']"
7,"['2001', 'andy-hall-1']"
8,"['2001', 'woodrow-dantzler-1']"
9,"['2001', 'willie-simmons-1']"
10,"['2001', 'matt-schell-1']"
11,"['2001', 'philip-rivers-1']"
12,"['2001', 'olin-hannum-1']"
13,"['2001', 'james-macpherson-1']"
14,"['2001', 'matt-schaub-1']"
15,"['2001', 'bryson-spinner-1']"
16,"['2001', 'd-bryant-1']"
17,"['2001', 'adam-smith-1']"
18,"['2001', 'chris-wispelway-1']"
19,"['2001', 'craig-ochs-1']"
20,"['2001', 'bobby-pesavento-1']"
21,"['2001', 'robert-hodge-1']"
22,"['2001', 'eric-crouch-1']"
23,"['2001', 'jammal-lord-1']"
24,"['2001', 'joe-chrisman-1']"
25,"['2001', 'brett-lindstrom-1']"
26,"['2001', 'seneca-wallace-1']"
27,"['2001', 'cris-love-1']"
28,"['2001', 'gerrin-scott-1']"
29,"['2001', 'ell-roberson-1']"
30,"['2001', 'marc-dunn-1']"
31,"['2001', 'jeremy-milne-1']"
32,"['2001', 'kirk-farmer-1']"
33,"['2001', 'jim-dougherty-1']"
34,"['2001', 'mario-kinsey-1']"
35,"['2001', 'zach-dyer-1']"
36,"['2001', 'jonas-weatherbie-1']"
37,"['2001', 'chris-simms-1']"
38,"['2001', 'major-applewhite-1']"
39,"['2001', 'chance-mock-1']"
40,"['2001', 'beau-trahan-1']"
41,"['2001', 'nate-hybl-1']"
42,"['2001', 'jason-white-1']"
43,"['2001', 'hunter-wall-1']"
44,"['2001', 'mark-farris-1']"
45,"['2001', 'vance-smith-1']"
46,"['2001', 'kliff-kingsbury-1']"
47,"['2001', 'bj-symons-1']"
48,"['2001', 'aso-pogi-1']"
49,"['2001', 'josh-fields-1']"
50,"['2001', 'greg-cicero-1']"
51,"['2001', 'josh-zachry-1']"
52,"['2001', 'aaron-karas-1']"
53,"['2001', 'davon-vinson-1']"
54,"['2001', 'guy-tomcheck-1']"
55,"['2001', 'ken-dorsey-1']"
56,"['2001', 'derrick-crudup-1']"
57,"['2001', 'rj-anderson-1']"
58,"['2001', 'troy-nunes-1']"
59,"['2001', 'brian-st-pierre-1']"
60,"['2001', 'quinton-porter-1']"
61,"['2001', 'eric-boatwright-1']"
62,"['2001', 'grant-noel-1']"
63,"['2001', 'bryan-randall-1']"
64,"['2001', 'jason-davis-3']"
65,"['2001', 'david-priestley-1']"
66,"['2001', 'rod-rutherford-1']"
67,"['2001', 'pat-hoderny-1']"
68,"['2001', 'mike-mcgann-1']"
69,"['2001', 'mac-devito-1']"
70,"['2001', 'devin-scott-1']"
71,"['2001', 'brad-lewis-1']"
72,"['2001', 'rasheed-marshall-1']"
73,"['2001', 'ryan-cubit-1']"
74,"['2001', 'ted-trump-1']"
75,"['2001', 'kurt-kittner-1']"
76,"['2001', 'dustin-ward-1']"
77,"['2001', 'john-navarre-1']"
78,"['2001', 'spencer-brinton-1']"
79,"['2001', 'steve-bellisari-1']"
80,"['2001', 'craig-krenzel-1']"
81,"['2001', 'scott-mcmullen-1']"
82,"['2001', 'kyle-mccann-1']"
83,"['2001', 'brad-banks-1']"
84,"['2001', 'kyle-orton-1']"
85,"['2001', 'brandon-hance-1']"
86,"['2001', 'mike-rhinehart-1']"
87,"['2001', 'antwaan-randle-el-1']"
88,"['2001', 'tommy-jones-1']"
89,"['2001', 'gibran-hamdan-1']"
90,"['2001', 'zack-mills-1']"
91,"['2001', 'matt-senneca-1']"
92,"['2001', 'jeff-smoker-1']"
93,"['2001', 'ryan-van-dyke-1']"
94,"['2001', 'damon-dowdell-1']"
95,"['2001', 'brooks-bollinger-1']"
96,"['2001', 'jim-sorgi-1']"
97,"['2001', 'matt-schabert-1']"
98,"['2001', 'asad-abdul-khaliq-1']"
99,"['2001', 'travis-cole-1']"
100,"['2001', 'zak-kustok-1']"
101,"['2001', 'tony-stauss-1']"
102,"['2001', 'dave-ragone-1']"
103,"['2001', 'stefan-lefors-1']"
104,"['2001', 'gino-guidugli-1']"
105,"['2001', 'adam-hoover-1']"
106,"['2001', 'luis-gonzalez-1']"
107,"['2001', 'david-garrard-1']"
108,"['2001', 'paul-troth-1']"
109,"['2001', 'jeff-aaron-1']"
110,"['2001', 'thomas-cox-1']"
111,"['2001', 'jeff-kelly-1']"
112,"['2001', 'micky-dangelo-1']"
113,"['2001', 'zac-white-1']"
114,"['2001', 'casey-printers-1']"
115,"['2001', 'sean-stilley-1']"
116,"['2001', 'zack-moore-1']"
117,"['2001', 'danny-wimprine-1']"
118,"['2001', 'neil-suber-1']"
119,"['2001', 'scott-scherer-1']"
120,"['2001', 'chad-jenkins-1']"
121,"['2001', 'curtis-zervic-1']"
122,"['2001', 'reggie-nevels-1']"
123,"['2001', 'patrick-ramsey-1']"
124,"['2001', 'jp-losman-1']"
125,"['2001', 'marquel-blackwell-1']"
126,"['2001', 'ronnie-banks-1']"
127,"['2001', 'kevin-patullo-1']"
128,"['2001', 'ryan-schneider-1']"
129,"['2001', 'brian-miller-1']"
130,"['2001', 'jon-rivera-1']"
131,"['2001', 'jose-fuentes-1']"
132,"['2001', 'jeff-crosbie-1']"
133,"['2001', 'travis-cox-1']"
134,"['2001', 'brian-madden-1']"
135,"['2001', 'craig-candeto-1']"
136,"['2001', 'byron-leftwich-1']"
137,"['2001', 'stan-hill-1']"
138,"['2001', 'ben-roethlisberger-1']"
139,"['2001', 'ryan-hawk-1']"
140,"['2001', 'andy-sahm-1']"
141,"['2001', 'josh-harris-2']"
142,"['2001', 'joshua-cribbs-1']"
143,"['2001', 'jeff-valentino-1']"
144,"['2001', 'ben-mcdaniels-1']"
145,"['2001', 'charlie-frye-1']"
146,"['2001', 'ryan-uhlenhake-1']"
147,"['2001', 'micah-faler-1']"
148,"['2001', 'joe-freedy-1']"
149,"['2001', 'randall-secky-1']"
150,"['2001', 'dontrell-jackson-1']"
151,"['2001', 'fred-ray-1']"
152,"['2001', 'tavares-bolden-1']"
153,"['2001', 'brian-jones-2']"
154,"['2001', 'chris-finlen-1']"
155,"['2001', 'talmadge-hill-1']"
156,"['2001', 'brian-conn-1']"
157,"['2001', 'andy-roesch-1']"
158,"['2001', 'jeff-welsh-1']"
159,"['2001', 'ryan-harris-2']"
160,"['2001', 'derrick-vickers-1']"
161,"['2001', 'derek-gorney-1']"
162,"['2001', 'kainoa-akina-1']"
163,"['2001', 'troy-edwards-1']"
164,"['2001', 'jeff-crooks-1']"
165,"['2001', 'collin-carey-1']"
166,"['2001', 'brandon-doman-1']"
167,"['2001', 'charlie-peterson-1']"
168,"['2001', 'todd-mortensen-1']"
169,"['2001', 'bradlee-van-pelt-1']"
170,"['2001', 'dj-busch-1']"
171,"['2001', 'lance-rice-1']"
172,"['2001', 'ryan-breska-1']"
173,"['2001', 'casey-kelly-1']"
174,"['2001', 'rudy-caamano-1']"
175,"['2001', 'keith-boyea-1']"
176,"['2001', 'chance-harridge-1']"
177,"['2001', 'jason-thomas-1']"
178,"['2001', 'kurt-nantkes-1']"
179,"['2001', 'lon-sheriff-1']"
180,"['2001', 'adam-hall-1']"
181,"['2001', 'jon-stoner-1']"
182,"['2001', 'danny-armstrong-1']"
183,"['2001', 'casey-bramlet-1']"
184,"['2001', 'jj-raterink-1']"
185,"['2001', 'joey-harrington-1']"
186,"['2001', 'jason-fife-1']"
187,"['2001', 'jason-gesser-1']"
188,"['2001', 'matt-kegel-1']"
189,"['2001', 'tali-ena-1']"
190,"['2001', 'randy-fasani-1']"
191,"['2001', 'chris-lewis-1']"
192,"['2001', 'cody-pickett-1']"
193,"['2001', 'taylor-barton-1']"
194,"['2001', 'carson-palmer-1']"
195,"['2001', 'matt-cassel-1']"
196,"['2001', 'cory-paus-1']"
197,"['2001', 'scott-mcewan-1']"
198,"['2001', 'ryan-mccann-1']"
199,"['2001', 'jonathan-smith-2']"
200,"['2001', 'derek-anderson-1']"
201,"['2001', 'nick-stremick-1']"
202,"['2001', 'jason-johnson-2']"
203,"['2001', 'john-rattay-1']"
204,"['2001', 'cliff-watkins-1']"
205,"['2001', 'jeff-krohn-1']"
206,"['2001', 'andrew-walter-1']"
207,"['2001', 'matt-cooper-1']"
208,"['2001', 'kyle-boller-1']"
209,"['2001', 'eric-holtfreter-1']"
210,"['2001', 'reggie-robertson-1']"
211,"['2001', 'casey-clausen-1']"
212,"['2001', 'joey-mathews-1']"
213,"['2001', 'rex-grossman-1']"
214,"['2001', 'brock-berlin-1']"
215,"['2001', 'jeff-creveling-1']"
216,"['2001', 'phil-petty-1']"
217,"['2001', 'corey-jenkins-1']"
218,"['2001', 'dondrial-pinkins-1']"
219,"['2001', 'erik-kimrey-1']"
220,"['2001', 'david-greene-1']"
221,"['2001', 'cory-phillips-1']"
222,"['2001', 'jared-lorenzen-1']"
223,"['2001', 'shane-boyd-1']"
224,"['2001', 'greg-zolman-1']"
225,"['2001', 'tim-olmstead-1']"
226,"['2001', 'benji-walker-1']"
227,"['2001', 'rohan-davey-1']"
228,"['2001', 'matt-mauck-1']"
229,"['2001', 'marcus-randall-1']"
230,"['2001', 'jason-campbell-1']"
231,"['2001', 'daniel-cobb-1']"
232,"['2001', 'jeff-klein-1']"
233,"['2001', 'eli-manning-1']"
234,"['2001', 'david-morris-1']"
235,"['2001', 'andrew-zow-1']"
236,"['2001', 'tyler-watts-1']"
237,"['2001', 'jonathan-richey-1']"
238,"['2001', 'zak-clark-1']"
239,"['2001', 'ryan-sorahan-1']"
240,"['2001', 'matt-jones-1']"
241,"['2001', 'tarvaris-jackson-1']"
242,"['2001', 'wayne-madkin-1']"
243,"['2001', 'kevin-fant-1']"
244,"['2001', 'wes-counts-1']"
245,"['2001', 'jason-johnson-4']"
246,"['2001', 'lance-phillips-1']"
247,"['2001', 'scott-hall-1']"
248,"['2001', 'richard-bridges-1']"
249,"['2001', 'kc-enzminger-1']"
250,"['2001', 'buck-pierce-1']"
251,"['2001', 'temon-wallace-1']"
252,"['2001', 'elliot-jacobs-1']"
253,"['2001', 'josh-driscoll-1']"
254,"['2001', 'tommy-miller-1']"
255,"['2001', 'andy-chance-1']"
256,"['2001', 'andre-vige-1']"
257,"['2001', 'daniel-peterson-1']"
258,"['2001', 'john-welsh-1']"
259,"['2001', 'brian-lindgren-1']"
260,"['2001', 'luke-mccown-1']"
261,"['2001', 'maxie-causey-1']"
262,"['2001', 'david-carr-1']"
263,"['2001', 'ryan-dinwiddie-1']"
264,"['2001', 'bj-rhode-1']"
265,"['2001', 'michael-sanford-1']"
266,"['2001', 'nick-rolovich-1']"
267,"['2001', 'timmy-chang-1']"
268,"['2001', 'jared-flint-1']"
269,"['2001', 'shawn-withy-allen-1']"
270,"['2001', 'kyle-herm-1']"
271,"['2001', 'greg-henderson-1']"
272,"['2001', 'david-page-1']"
273,"['2001', 'kelan-luker-1']"
274,"['2001', 'david-neill-1']"
275,"['2001', 'zack-threadgill-1']"
276,"['2001', 'marcus-arroyo-1']"
277,"['2001', 'clint-carlson-1']"
278,"['2001', 'brennan-crooks-1']"
279,"['2001', 'wesley-phillips-1']"
280,"['2001', 'jon-schaper-1']"
281,"['2001', 'omar-duarte-1']"
282,"['2001', 'gerred-lunnon-1']"
283,"['2001', 'josh-blankenship-1']"
284,"['2001', 'tyler-gooch-1']"
285,"['2001', 'james-kilian-1']"
286,"['2002', 'chris-rix-1']"
287,"['2002', 'adrian-mcpherson-1']"
288,"['2002', 'fabian-walker-1']"
289,"['2002', 'scott-mcbrien-1']"
290,"['2002', 'orlando-evans-1']"
291,"['2002', 'matt-schaub-1']"
292,"['2002', 'marques-hagans-1']"
293,"['2002', 'philip-rivers-1']"
294,"['2002', 'jay-davis-1']"
295,"['2002', 'chris-young-2']"
296,"['2002', 'willie-simmons-1']"
297,"['2002', 'charlie-whitehurst-1']"
298,"['2002', 'aj-suggs-1']"
299,"['2002', 'brian-camp-1']"
300,"['2002', 'james-macpherson-1']"
301,"['2002', 'cory-randolph-1']"
302,"['2002', 'darian-durant-1']"
303,"['2002', 'cj-stephens-1']"
304,"['2002', 'matt-baker-1']"
305,"['2002', 'adam-smith-1']"
306,"['2002', 'chris-dapolito-1']"
307,"['2002', 'chris-wispelway-1']"
308,"['2002', 'robert-hodge-1']"
309,"['2002', 'craig-ochs-1']"
310,"['2002', 'joel-klatt-1']"
311,"['2002', 'ell-roberson-1']"
312,"['2002', 'marc-dunn-1']"
313,"['2002', 'jeff-schwinn-1']"
314,"['2002', 'seneca-wallace-1']"
315,"['2002', 'cris-love-1']"
316,"['2002', 'jammal-lord-1']"
317,"['2002', 'joe-chrisman-1']"
318,"['2002', 'brad-smith-1']"
319,"['2002', 'kirk-farmer-1']"
320,"['2002', 'bill-whittemore-1']"
321,"['2002', 'zach-dyer-1']"
322,"['2002', 'brian-luke-1']"
323,"['2002', 'jonas-weatherbie-1']"
324,"['2002', 'nate-hybl-1']"
325,"['2002', 'jason-white-1']"
326,"['2002', 'paul-thompson-1']"
327,"['2002', 'chris-simms-1']"
328,"['2002', 'chance-mock-1']"
329,"['2002', 'beau-trahan-1']"
330,"['2002', 'josh-fields-1']"
331,"['2002', 'aso-pogi-1']"
332,"['2002', 'michael-cox-2']"
333,"['2002', 'kliff-kingsbury-1']"
334,"['2002', 'bj-symons-1']"
335,"['2002', 'sonny-cumbie-1']"
336,"['2002', 'cody-hodges-1']"
337,"['2002', 'dustin-long-1']"
338,"['2002', 'reggie-mcneal-1']"
339,"['2002', 'mark-farris-1']"
340,"['2002', 'aaron-karas-1']"
341,"['2002', 'greg-cicero-1']"
342,"['2002', 'josh-zachry-1']"
343,"['2002', 'guy-tomcheck-1']"
344,"['2002', 'ken-dorsey-1']"
345,"['2002', 'derrick-crudup-1']"
346,"['2002', 'marc-guillon-1']"
347,"['2002', 'rasheed-marshall-1']"
348,"['2002', 'danny-embick-1']"
349,"['2002', 'rod-rutherford-1']"
350,"['2002', 'tyler-palko-1']"
351,"['2002', 'bryan-randall-1']"
352,"['2002', 'grant-noel-1']"
353,"['2002', 'will-hunt-1']"
354,"['2002', 'brian-st-pierre-1']"
355,"['2002', 'quinton-porter-1']"
356,"['2002', 'rj-anderson-1']"
357,"['2002', 'troy-nunes-1']"
358,"['2002', 'xzavier-gaines-1']"
359,"['2002', 'mike-mcgann-1']"
360,"['2002', 'mike-frost-1']"
361,"['2002', 'ryan-hart-1']"
362,"['2002', 'ted-trump-1']"
363,"['2002', 'ryan-cubit-1']"
364,"['2002', 'craig-krenzel-1']"
365,"['2002', 'scott-mcmullen-1']"
366,"['2002', 'jim-otis-1']"
367,"['2002', 'brad-banks-1']"
368,"['2002', 'nathan-chandler-1']"
369,"['2002', 'john-navarre-1']"
370,"['2002', 'spencer-brinton-1']"
371,"['2002', 'zack-mills-1']"
372,"['2002', 'michael-robinson-1']"
373,"['2002', 'chris-ganter-1']"
374,"['2002', 'kyle-orton-1']"
375,"['2002', 'brandon-kirsch-1']"
376,"['2002', 'mike-rhinehart-1']"
377,"['2002', 'jon-beutjer-1']"
378,"['2002', 'dustin-ward-1']"
379,"['2002', 'brooks-bollinger-1']"
380,"['2002', 'jim-sorgi-1']"
381,"['2002', 'damon-dowdell-1']"
382,"['2002', 'jeff-smoker-1']"
383,"['2002', 'gibran-hamdan-1']"
384,"['2002', 'tommy-jones-1']"
385,"['2002', 'brett-basanez-1']"
386,"['2002', 'tony-stauss-1']"
387,"['2002', 'alexander-webb-1']"
388,"['2002', 'sean-stilley-1']"
389,"['2002', 'tye-gunn-1']"
390,"['2002', 'zack-moore-1']"
391,"['2002', 'gino-guidugli-1']"
392,"['2002', 'john-leonard-1']"
393,"['2002', 'dave-ragone-1']"
394,"['2002', 'stefan-lefors-1']"
395,"['2002', 'micky-dangelo-1']"
396,"['2002', 'dustin-almond-1']"
397,"['2002', 'jp-losman-1']"
398,"['2002', 'derrick-joseph-1']"
399,"['2002', 'darrell-hackney-1']"
400,"['2002', 'thomas-cox-1']"
401,"['2002', 'paul-troth-1']"
402,"['2002', 'desmond-robinson-1']"
403,"['2002', 'nick-eddy-1']"
404,"['2002', 'barrick-nealy-1']"
405,"['2002', 'torrence-botts-1']"
406,"['2002', 'danny-wimprine-1']"
407,"['2002', 'jeff-hilliard-1']"
408,"['2002', 'zac-dahman-1']"
409,"['2002', 'reggie-nevels-1']"
410,"['2002', 'matt-silva-1']"
411,"['2002', 'laron-bybee-1']"
412,"['2002', 'connor-crehan-1']"
413,"['2002', 'marquel-blackwell-1']"
414,"['2002', 'ronnie-banks-1']"
415,"['2002', 'david-mullins-1']"
416,"['2002', 'pat-dillingham-1']"
417,"['2002', 'dan-novakov-1']"
418,"['2002', 'dan-orlovsky-1']"
419,"['2002', 'jermell-williams-1']"
420,"['2002', 'jeff-larson-1']"
421,"['2002', 'hansell-bearden-1']"
422,"['2002', 'matt-ray-1']"
423,"['2002', 'kacson-maddox-1']"
424,"['2002', 'josh-russell-1']"
425,"['2002', 'jose-fuentes-1']"
426,"['2002', 'jeff-crosbie-1']"
427,"['2002', 'travis-cox-1']"
428,"['2002', 'byron-leftwich-1']"
429,"['2002', 'stan-hill-1']"
430,"['2002', 'ryan-schneider-1']"
431,"['2002', 'jon-rivera-1']"
432,"['2002', 'brian-miller-1']"
433,"['2002', 'ben-roethlisberger-1']"
434,"['2002', 'josh-betts-1']"
435,"['2002', 'jd-vonderheide-1']"
436,"['2002', 'fred-ray-1']"
437,"['2002', 'dontrell-jackson-1']"
438,"['2002', 'charlie-frye-1']"
439,"['2002', 'micah-faler-1']"
440,"['2002', 'joshua-cribbs-1']"
441,"['2002', 'darryl-polk-1']"
442,"['2002', 'randall-secky-1']"
443,"['2002', 'michael-radon-1']"
444,"['2002', 'ryan-gilbert-3']"
445,"['2002', 'brian-jones-2']"
446,"['2002', 'cedric-stevens-1']"
447,"['2002', 'bruce-gradkowski-1']"
448,"['2002', 'josh-harris-2']"
449,"['2002', 'andy-sahm-1']"
450,"['2002', 'andy-roesch-1']"
451,"['2002', 'talmadge-hill-1']"
452,"['2002', 'chad-munson-1']"
453,"['2002', 'blayne-baggett-1']"
454,"['2002', 'derrick-vickers-1']"
455,"['2002', 'kent-smith-1']"
456,"['2002', 'derek-gorney-1']"
457,"['2002', 'grant-arnoldink-1']"
458,"['2002', 'troy-edwards-1']"
459,"['2002', 'jeff-crooks-1']"
460,"['2002', 'chinedu-okoro-1']"
461,"['2002', 'bradlee-van-pelt-1']"
462,"['2002', 'justin-holland-1']"
463,"['2002', 'casey-kelly-1']"
464,"['2002', 'justin-millea-1']"
465,"['2002', 'kole-mckamey-1']"
466,"['2002', 'chance-harridge-1']"
467,"['2002', 'brad-baca-1']"
468,"['2002', 'adam-hall-1']"
469,"['2002', 'lon-sheriff-1']"
470,"['2002', 'jason-thomas-1']"
471,"['2002', 'kurt-nantkes-1']"
472,"['2002', 'brett-elliott-1']"
473,"['2002', 'lance-rice-1']"
474,"['2002', 'alex-smith-3']"
475,"['2002', 'bret-engemann-1']"
476,"['2002', 'matt-berry-1']"
477,"['2002', 'todd-mortensen-1']"
478,"['2002', 'casey-bramlet-1']"
479,"['2002', 'corey-bramlet-1']"
480,"['2002', 'carson-palmer-1']"
481,"['2002', 'matt-cassel-1']"
482,"['2002', 'jason-gesser-1']"
483,"['2002', 'matt-kegel-1']"
484,"['2002', 'chris-hurd-2']"
485,"['2002', 'andrew-walter-1']"
486,"['2002', 'chad-christensen-1']"
487,"['2002', 'andy-goodenough-1']"
488,"['2002', 'derek-anderson-1']"
489,"['2002', 'adam-rothenfluh-1']"
490,"['2002', 'drew-olson-1']"
491,"['2002', 'cory-paus-1']"
492,"['2002', 'matt-moore-1']"
493,"['2002', 'john-sciarra-1']"
494,"['2002', 'kyle-boller-1']"
495,"['2002', 'reggie-robertson-1']"
496,"['2002', 'cody-pickett-1']"
497,"['2002', 'taylor-barton-1']"
498,"['2002', 'jason-fife-1']"
499,"['2002', 'kellen-clemens-1']"
500,"['2002', 'scott-vossmeyer-1']"
501,"['2002', 'jason-johnson-2']"
